dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.179522,0.018190,2.180000,2.000000,0.000000,0.000000,0.016239
0.020000,2.219516,0.018845,2.220000,2.000000,0.000000,0.000000,0.016511
0.020000,2.259511,0.019511,2.260000,2.000000,0.000000,0.000000,0.016783
0.020000,2.299505,0.020188,2.300000,2.000000,0.000000,0.000000,0.017054
0.020000,2.339499,0.020875,2.340000,2.000000,0.000000,0.000000,0.017323
0.020000,2.379493,0.021574,2.380000,2.000000,0.000000,0.000000,0.017592
0.020000,2.419487,0.022283,2.420000,2.000000,0.000000,0.000000,0.017860
0.020000,2.459480,0.023002,2.460000,2.000000,0.000000,0.000000,0.018127
0.020000,2.499473,0.023733,2.500000,2.000000,0.000000,0.000000,0.018393
0.020000,2.539467,0.024474,2.540000,2.000000,0.000000,0.000000,0.018659
0.020000,2.579460,0.025225,2.580000,2.000000,0.000000,0.000000,0.018923
0.020000,2.619452,0.025988,2.620000,2.000000,0.000000,0.000000,0.019186
0.020000,2.659445,0.026760,2.660000,2.000000,0.000000,0.000000,0.019449
0.020000,2.699437,0.027543,2.700000,2.000000,0.000000,0.000000,0.019710
0.020000,2.739429,0.028337,2.740000,2.000000,0.000000,0.000000,0.019971
0.020000,2.779421,0.029141,2.780000,2.000000,0.000000,0.000000,0.020231
0.020000,2.819413,0.029955,2.820000,2.000000,0.000000,0.000000,0.020490
0.020000,2.859404,0.030780,2.860000,2.000000,0.000000,0.000000,0.020748
0.020000,2.899396,0.031615,2.900000,2.000000,0.000000,0.000000,0.021004
0.020000,2.939387,0.032460,2.940000,2.000000,0.000000,0.000000,0.021261
0.020000,2.979378,0.033316,2.980000,2.000000,0.000000,0.000000,0.021516
0.020000,3.019368,0.034181,3.020000,2.000000,0.000000,0.000000,0.021770
0.020000,3.059359,0.035057,3.060000,2.000000,0.000000,0.000000,0.022023
0.020000,3.099349,0.035943,3.100000,2.000000,0.000000,0.000000,0.022276
0.020000,3.139339,0.036839,3.140000,2.000000,0.000000,0.000000,0.022527
0.020000,3.179329,0.037745,3.180000,2.000000,0.000000,0.000000,0.022777
0.020000,3.219318,0.038661,3.220000,2.000000,0.000000,0.000000,0.023027
0.020000,3.259307,0.039587,3.260000,2.000000,0.000000,0.000000,0.023276
0.020000,3.299296,0.040523,3.300000,2.000000,0.000000,0.000000,0.023524
0.020000,3.339285,0.041469,3.340000,2.000000,0.000000,0.000000,0.023770
0.020000,3.379274,0.042424,3.380000,2.000000,0.000000,0.000000,0.024016
0.020000,3.419262,0.043390,3.420000,2.000000,0.000000,0.000000,0.024261
0.020000,3.459250,0.044365,3.460000,2.000000,0.000000,0.000000,0.024505
0.020000,3.499238,0.045350,3.500000,2.000000,0.000000,0.000000,0.024749
0.020000,3.539226,0.046345,3.540000,2.000000,0.000000,0.000000,0.024991
0.020000,3.579213,0.047349,3.580000,2.000000,0.000000,0.000000,0.025232
